;Disposa.de.connexió.a.Internet.a.la.llar.;Connexió.ràpida;Tenen.tarifa.plana.;Missatges.mobil;Quants.televisors.tenen.;TV.de.pagament.;Amb.quina.freqüència.usa.ordinador.;Utilitza.programes.ofimàtics;Informàtica.avançada;Aplicacions.específiques;Per.oci;Amb.quina.freqüència.usa.inet.;Català;Castellà;Anglès;Edat;Sexe;Nivell.d.estudis;Activitat.professional;Nivell.ingressos.mensuals;Estudia.per.Internet.;Fa.servir.correu.electrònic.;Fa.servir.xat.;Fa.teletreball.;Ha.comprat.aliments.;Ha.comprat.per.Internet.;Internet.per.a.l.oci.;Pagament.a.través.d.Internet.;Tràmits.amb.els.serveis.sanitaris.;Tràmits.per.Internet.amb.l.Admó.;Utilitza.serveis.banca.electrònica.;Visita.webs.de.l.Admó.;Visita.webs.sanitaris.
492;TRUE;FALSE;TRUE;NO;1TV;FALSE;Diàriament;TRUE;FALSE;FALSE;TRUE;Diàriament;FALSE;TRUE;FALSE;Edat(25,35];Dona;Superiors;Assalariats;210.000 - 420.000;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
4957;TRUE;FALSE;TRUE;Menys de 5;3TVs;FALSE;Setmanalment;TRUE;FALSE;FALSE;FALSE;Amb menys freq.;FALSE;TRUE;FALSE;Edat(45,55];Home;Secundaris;Assalariats;210.000 - 420.000;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE
4959;TRUE;FALSE;TRUE;Cap (o menys d'1 per;capTV;FALSE;Diàriament;TRUE;FALSE;TRUE;TRUE;Diàriament;TRUE;TRUE;TRUE;Edat(14,25];Home;Superiors;Assalariats;210.000 - 420.000;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE
4971;TRUE;TRUE;TRUE;Cap (o menys d'1 per;2TVs;TRUE;Diàriament;TRUE;TRUE;TRUE;FALSE;Diàriament;FALSE;TRUE;FALSE;Edat(45,55];Home;Secundaris;Assalariats;210.000 - 420.000;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE
501;TRUE;FALSE;TRUE;Cap (o menys d'1 per;+3TVs;FALSE;Amb menys freqüència;FALSE;FALSE;FALSE;TRUE;Amb menys freq.;TRUE;TRUE;TRUE;Edat(35,45];Dona;Primaris;Mestressa casa;210.000 - 420.000;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
502;TRUE;TRUE;TRUE;NO;+3TVs;TRUE;Diàriament;TRUE;FALSE;FALSE;TRUE;Diàriament;FALSE;TRUE;TRUE;Edat(45,55];Home;Secundaris;Empresaris;NS/NC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
5031;TRUE;FALSE;FALSE;Entre 5 i 10;1TV;FALSE;Diàriament;TRUE;FALSE;FALSE;FALSE;Setmanalment;TRUE;TRUE;TRUE;Edat(35,45];Home;Superiors;Assalariats;Més de 675.000;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
5034;TRUE;TRUE;TRUE;Entre 5 i 10;2TVs;FALSE;Diàriament;TRUE;FALSE;FALSE;FALSE;Diàriament;FALSE;TRUE;FALSE;Edat(14,25];Home;Secundaris;Assalariats;420.000 - 675.000;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
5040;TRUE;FALSE;FALSE;Entre 5 i 10;1TV;FALSE;Diàriament;TRUE;FALSE;FALSE;TRUE;Diàriament;TRUE;TRUE;FALSE;Edat(25,35];Dona;Superiors;Estudiants;125.000 - 210.000;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
5046;TRUE;FALSE;TRUE;Entre 5 i 10;2TVs;FALSE;Diàriament;TRUE;FALSE;FALSE;FALSE;Diàriament;FALSE;TRUE;TRUE;Edat(14,25];Dona;Secundaris;Estudiants;NS/NC;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE
